"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ADM_CD209","ADM","CD209",122,27,3.01362159430809e-06,8.27449148346432e-07,82,-3.73121583003998,0.00011,0.00107317073170732
"CD55_IL1RAP","CD55","IL1RAP",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.7243465928522,0.00016,0.00146564885496183
"IL10_ITGAM","IL10","ITGAM",259,40,6.39777043381799e-06,1.22585059014286e-06,126,-3.71590909210301,0.00243,0.0135
"ICAM2_IL1RAP","ICAM2","IL1RAP",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.70065207426948,1e-05,0.000141176470588235
"CD1D_SORT1","CD1D","SORT1",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.69478612303205,0,0
"ITGB1_CD209","ITGB1","CD209",465,106,1.14863446012562e-05,3.24850406387858e-06,327,-3.68857530434482,0.00013,0.00122834645669291
"CD52_ITGAM","CD52","ITGAM",659,104,1.6278496972533e-05,3.18721153437144e-06,294,-3.6847596459592,6e-04,0.00435045317220544
"VEGFA_CD209","VEGFA","CD209",1030,236,2.54428708371912e-05,7.23251848184289e-06,339,-3.68120247084807,0.00108,0.00694906166219839
"CXCL12_MERTK","CXCL12","MERTK",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.68019001101702,7e-04,0.00489795918367347
"CD1D_CD36","CD1D","CD36",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.67774350291643,0,0
"IL1A_PLAUR","IL1A","PLAUR",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.66362150027322,0.00402,0.0204406779661017
"THBS1_CXCR4","THBS1","CXCR4",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.66297185085467,1e-05,0.000141176470588235
"TNF_SORT1","TNF","SORT1",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.6569111853864,0.01224,0.0484752475247525
"IL1A_SIRPA","IL1A","SIRPA",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.65579177235321,0.00487,0.0237560975609756
