"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL19_SIGLEC10","CCL19","SIGLEC10",27,92,6.70919034335797e-07,2.81140152888905e-06,48,1.18909468191744,0.35676,0.808571509769094
"IL15_PLXND1","IL15","PLXND1",73,109,1.81396627801901e-06,3.33089963748811e-06,156,1.18968007045751,0.81475,1
"IL1B_CCR6","IL1B","CCR6",13198,21711,0.000327955163524587,0.000663460202105544,1273,1.19113273008994,0.74133,1
"IL1B_FPR3","IL1B","FPR3",13198,21711,0.000327955163524587,0.000663460202105544,1273,1.19376182980271,0.94773,1
"CLCF1_CD74","CLCF1","CD74",21,55,5.21825915594509e-07,1.68072917487932e-06,62,1.19665068885,0.87965,1
"ADM_PLXNB2","ADM","PLXNB2",189,389,4.69643324035058e-06,1.18873390732374e-05,297,1.19893925971275,0.46529,0.999619259259259
"TGFB1_ITGAL","TGFB1","ITGAL",480,432,1.19274494993031e-05,1.32013637008703e-05,554,1.20027931785248,0.95586,1
"IL15_SELL","IL15","SELL",73,109,1.81396627801901e-06,3.33089963748811e-06,156,1.20105490996339,0.82366,1
"ICAM1_IL12RB1","ICAM1","IL12RB1",790,1482,1.9630593967603e-05,4.52880115849301e-05,817,1.20220985692877,0.72094,1
"ITGAV_IL12RB1","ITGAV","IL12RB1",81,152,2.01275710300739e-06,4.64492426512103e-06,181,1.20266251027989,0.77577,1
"LTB_CLEC2D","LTB","CLEC2D",123,192,3.05640893419641e-06,5.86727275594236e-06,159,1.20335752825572,0.77726,1
"LTB_FPR1","LTB","FPR1",123,192,3.05640893419641e-06,5.86727275594236e-06,159,1.20499068690028,0.8507,1
"CD99_CD2","CD99","CD2",429,434,1.06601579900021e-05,1.32624811254114e-05,545,1.2070563831831,0.61303,1
"EBI3_CCRL2","EBI3","CCRL2",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.20775495059322,0.6161,1
"APP_IL1R1","APP","IL1R1",208,123,5.16856144969799e-06,3.75872160927557e-06,262,1.21222877690832,0.83868,1
"ITGB1_FPR2","ITGB1","FPR2",547,449,1.35923226585808e-05,1.37208618094694e-05,575,1.21254844277362,0.93073,1
"TNFSF14_CD72","TNFSF14","CD72",92,290,2.28609448736642e-06,8.8620265584546e-06,182,1.21424888363427,0.6825,1
"LGALS3_FPR2","LGALS3","FPR2",1287,1058,3.19804739700063e-05,3.2331117582224e-05,896,1.21470149108454,0.62588,1
"PLAU_CCR6","PLAU","CCR6",61,102,1.51578004053643e-06,3.11698865159438e-06,119,1.21470370085373,0.53999,1
"ALCAM_CLEC2D","ALCAM","CLEC2D",113,178,2.80792040296093e-06,5.43945078415489e-06,215,1.21646378805026,0.9437,1
