"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"TNF_IL10RA","TNF","IL10RA",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.585180148663,0,0
"IL6_MERTK","IL6","MERTK",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.59108658287982,8e-04,0.00577095435684647
"VEGFA_CD80","VEGFA","CD80",1079,1593,2.66080864613371e-05,4.89166842926408e-05,758,2.59150398599462,0.00099,0.00684339960238569
"CCL19_IL10RB","CCL19","IL10RB",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.59214065071832,0.00193,0.0122680255941499
"INHBA_IL10RA","INHBA","IL10RA",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.59644339777791,4e-05,0.000391774647887324
"CLU_ITGAL","CLU","ITGAL",18,64,4.43879106861971e-07,1.96526540786504e-06,47,2.59658779600182,0.00829,0.0431501946107784
"CSF3_TNFRSF21","CSF3","TNFRSF21",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.59742532878431,0.06275,0.230636099365751
"IL15_CD80","IL15","CD80",73,109,1.80017637782911e-06,3.34709264777015e-06,156,2.60780626082899,0.00023,0.00190861575178998
"CSF3_CD74","CSF3","CD74",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.61082214587516,0.03627,0.147498
"TNF_TNFRSF21","TNF","TNFRSF21",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.61167764570061,6e-05,0.000568446866485014
"TNFSF14_TNFRSF10A","TNFSF14","TNFRSF10A",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.61202849762037,0.0143,0.0684863636363636
"CSF3_IL1RAP","CSF3","IL1RAP",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.62155237380211,0.06028,0.22249847133758
"VEGFA_NRP2","VEGFA","NRP2",1079,1593,2.66080864613371e-05,4.89166842926408e-05,758,2.6215931171,0.00065,0.0047984076433121
"CCL19_ITGAM","CCL19","ITGAM",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.62173128159507,0.00313,0.0185716894197952
"INHBA_TNFRSF21","INHBA","TNFRSF21",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.62294092955057,4e-04,0.00313950338600451
"TNF_CD74","TNF","CD74",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.62506292955024,0,0
"IL6_AXL","IL6","AXL",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.62720544858096,6e-05,0.000568446866485014
"CCL3_IL10RB","CCL3","IL10RB",5143,17991,0.000126826124810618,0.000552454530514062,1051,2.63006539293924,0,0
"SPP1_CD226","SPP1","CD226",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,2.63046516852305,0.0067,0.0362840902021773
"CSF3_FPR1","CSF3","FPR1",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.63047937989144,0.05408,0.204165211726384
"TNFSF14_CCR6","TNFSF14","CCR6",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.63309417267165,0.01067,0.0532275322812052
"TNF_IL1RAP","TNF","IL1RAP",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.63580586865487,4e-05,0.000391774647887324
"IL1A_SORT1","IL1A","SORT1",424,1093,1.04558189616376e-05,3.35630482936952e-05,343,2.63595809966466,0.00756,0.0398878907435508
"INHBA_CD74","INHBA","CD74",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.6363261599551,0,0
"IL15_NRP2","IL15","NRP2",73,109,1.80017637782911e-06,3.34709264777015e-06,156,2.63789815702066,0.00021,0.00175521634615385
"ICAM1_TREM2","ICAM1","TREM2",790,1482,1.94813608011643e-05,4.55081771008749e-05,817,2.63841479059274,0.04303,0.169631870748299
"ITGAV_TREM2","ITGAV","TREM2",81,152,1.99745598087887e-06,4.66750534367947e-06,181,2.63886434042348,0.05105,0.195523810572687
"CSF3_SELL","CSF3","SELL",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.64207830815551,0.06955,0.251261090342679
"TNF_FPR1","TNF","FPR1",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.64472777159807,0,0
"INHBA_IL1RAP","INHBA","IL1RAP",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.64706915797487,0.00034,0.00271142201834862
"CCL5_TNFRSF10A","CCL5","TNFRSF10A",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.6495771278066,0.00473,0.0265261451612903
"PVR_TREM2","PVR","TREM2",19,36,4.68539057243192e-07,1.10546179192409e-06,52,2.65275854512022,0.04923,0.190615489977728
"IL1A_PLXND1","IL1A","PLXND1",424,1093,1.04558189616376e-05,3.35630482936952e-05,343,2.65276743559979,0.00284,0.0169960068846816
"CLU_IL10RB","CLU","IL10RB",18,64,4.43879106861971e-07,1.96526540786504e-06,47,2.65353816826494,0.00408,0.0233709390444811
"TNFSF14_LILRB2","TNFSF14","LILRB2",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.6537331673538,5e-05,0.00048024861878453
"IL1A_NRP1","IL1A","NRP1",424,1093,1.04558189616376e-05,3.35630482936952e-05,343,2.65388137325636,0.00017,0.00145230958230958
"INHBA_FPR1","INHBA","FPR1",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.65599103726788,8e-05,0.000732
"TNF_SELL","TNF","SELL",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.65634606641973,0.00038,0.00298927601809955
"CLCF1_SORT1","CLCF1","SORT1",21,55,5.17858958005633e-07,1.68889995988402e-06,62,2.65881027838325,0.02732,0.117563910891089
"CCL3_ITGAM","CCL3","ITGAM",5143,17991,0.000126826124810618,0.000552454530514062,1051,2.65966402496574,1e-05,0.000109339622641509
"INHBA_SELL","INHBA","SELL",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.66760942187038,0.00151,0.00986892857142857
"IL6_ACVR1B","IL6","ACVR1B",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.66908357017522,0.00853,0.0442009090909091
"CCL5_CCR6","CCL5","CCR6",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.67064316004768,0.00317,0.0187450510204082
"TNFSF14_TLR8","TNFSF14","TLR8",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.67093056872468,0.00057,0.00428980519480519
"LTB_CD80","LTB","CD80",123,192,3.03317389689014e-06,5.89579622359512e-06,159,2.67189711166162,0.00464,0.0261056310679612
"CLCF1_PLXND1","CLCF1","PLXND1",21,55,5.17858958005633e-07,1.68889995988402e-06,62,2.67563979465839,0.01806,0.08372616
"CLCF1_NRP1","CLCF1","NRP1",21,55,5.17858958005633e-07,1.68889995988402e-06,62,2.67675984135924,0.0088,0.0455321428571429
"IL6_TNFRSF14","IL6","TNFRSF14",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.67762061667128,3e-05,0.000299741379310345
"CLU_ITGAM","CLU","ITGAM",18,64,4.43879106861971e-07,1.96526540786504e-06,47,2.68312468166249,0.00559,0.0308025832012678
"IL1RN_CSF3R","IL1RN","CSF3R",870,6734,2.1454156831662e-05,0.0002067827696338,746,2.68986567380848,0,0
