"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD58_TLR8","CD58","TLR8",214,37,5.26424608923709e-06,1.13742850839132e-06,169,-1.63422555030547,0.92645,1
"SPN_IL1RAP","SPN","IL1RAP",103,13,2.53372592145523e-06,3.99637043488841e-07,94,-1.63415897916152,0.90933,1
"ICAM1_IL12RB1","ICAM1","IL12RB1",1564,377,3.84732751568542e-05,1.15894742611764e-05,373,-1.63384676336193,0.94289,1
"RNASET2_FPR3","RNASET2","FPR3",1481,315,3.64315348512156e-05,9.683512976845e-06,536,-1.63332575014431,0.52023,1
"KLRB1_CD2","KLRB1","CD2",208,27,5.11665040449212e-06,8.30015398015286e-07,131,-1.63104200633782,0.86276,1
"LRPAP1_IL12RB1","LRPAP1","IL12RB1",277,67,6.81400077905922e-06,2.05966783951941e-06,209,-1.62889156324594,0.42912,1
"ADM_LTBR","ADM","LTBR",122,27,3.00111225648096e-06,8.30015398015286e-07,82,-1.62592778598747,0.32561,0.924028378378378
"ICAM2_ITGAL","ICAM2","ITGAL",103,12,2.53372592145523e-06,3.68895732451238e-07,98,-1.62508003946656,0.76619,1
"B2M_SORT1","B2M","SORT1",32466,9518,0.000798640250155006,0.000292595798455907,849,-1.62142999967838,0.36814,1
"INHBA_PILRA","INHBA","PILRA",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.62134556199813,0.99632,1
"APOE_TREM2","APOE","TREM2",1113,548,2.7378999520191e-05,1.68462384486065e-05,192,-1.61938991782082,0.2282,0.730306240928882
"ICAM1_BSG","ICAM1","BSG",1564,377,3.84732751568542e-05,1.15894742611764e-05,373,-1.61828128026213,0.99783,1
"LRPAP1_BSG","LRPAP1","BSG",277,67,6.81400077905922e-06,2.05966783951941e-06,209,-1.61332965556267,0.40704,1
"CCL3_PLXNB2","CCL3","PLXNB2",4991,1343,0.00012277501042702,4.12855807235011e-05,495,-1.61214642171777,0.89367,1
"IL1B_PLAUR","IL1B","PLAUR",7883,1070,0.000193916130474093,3.28932028102354e-05,493,-1.61127881789207,0.99842,1
"CXCL12_NRP1","CXCL12","NRP1",204,21,5.01825328132881e-06,6.45567531789667e-07,137,-1.6105002698188,0.33897,0.946168291139241
"KLRB1_CCR1","KLRB1","CCR1",208,27,5.11665040449212e-06,8.30015398015286e-07,131,-1.60776651934799,0.91033,1
"IL1B_SIRPA","IL1B","SIRPA",7883,1070,0.000193916130474093,3.28932028102354e-05,493,-1.60760207270873,0.99532,1
"KLRB1_IL6ST","KLRB1","IL6ST",208,27,5.11665040449212e-06,8.30015398015286e-07,131,-1.60643336104103,0.92659,1
"CD99_IL12RB1","CD99","IL12RB1",207,51,5.0920511237013e-06,1.56780686291776e-06,182,-1.60229869966776,0.84278,1
"VEGFB_IL12RB1","VEGFB","IL12RB1",158,39,3.88668636495075e-06,1.19891113046652e-06,143,-1.59961362697572,0.60101,1
"HEBP1_CD2","HEBP1","CD2",113,15,2.77971872936351e-06,4.61119665564048e-07,108,-1.59877524007114,0.42067,1
"PPIA_PILRA","PPIA","PILRA",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.59820011302865,0.89218,1
"SPN_ADGRE5","SPN","ADGRE5",103,13,2.53372592145523e-06,3.99637043488841e-07,94,-1.59762258287061,0.95397,1
