"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD55_FLT1","CD55","FLT1",1814,1242,4.5006944690658e-05,3.81953044623986e-05,912,0.85863444260165,0.98234,1
"VEGFA_CD74","VEGFA","CD74",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,0.875182655122253,0.99595,1
"TNFSF14_SIGLEC10","TNFSF14","SIGLEC10",92,290,2.28260138453172e-06,8.91838832052786e-06,182,0.886403599286589,0.84989,1
"ICAM1_CCR6","ICAM1","CCR6",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,0.890219334621309,0.9841,1
"ITGAV_CCR6","ITGAV","CCR6",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.890675600568033,0.96795,1
"TNFSF13_CD72","TNFSF13","CD72",184,167,4.56520276906344e-06,5.13576155009708e-06,266,0.893317518314764,0.87597,1
"ICAM1_IL10RB","ICAM1","IL10RB",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,0.912913760828617,0.94454,1
"ITGAV_IL10RB","ITGAV","IL10RB",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.913369321682588,0.93668,1
"TNFSF14_TNFRSF13B","TNFSF14","TNFRSF13B",92,290,2.28260138453172e-06,8.91838832052786e-06,182,0.914311976065248,0.86934,1
"TNFSF13_CXCR3","TNFSF13","CXCR3",184,167,4.56520276906344e-06,5.13576155009708e-06,266,0.917358425204034,0.66198,1
"CD58_NCR3","CD58","NCR3",187,374,4.63963542290686e-06,1.15016456271635e-05,400,0.919716911619049,0.94842,1
"VEGFA_CLEC2D","VEGFA","CLEC2D",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,0.922177940486528,0.97266,1
"NCR3LG1_TNFRSF14","NCR3LG1","TNFRSF14",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.923411516239554,0.99998,1
"VEGFA_ADGRE5","VEGFA","ADGRE5",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,0.927435300666696,0.95213,1
"ICAM4_NCR3","ICAM4","NCR3",37,75,9.18002730735582e-07,2.30647973806755e-06,96,0.939080793735025,0.98044,1
"NCR3LG1_SELL","NCR3LG1","SELL",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.948490650050543,0.99996,1
"TNFSF10_CD72","TNFSF10","CD72",240,227,5.95461230747405e-06,6.98094534055112e-06,286,0.952833098993365,0.99797,1
"ICAM1_IL27RA","ICAM1","IL27RA",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,0.952868868868911,0.89869,1
"ITGAV_IL27RA","ITGAV","IL27RA",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.953324059024504,0.9004,1
"BAG6_FLT1","BAG6","FLT1",135,99,3.34946942295415e-06,3.04455325424917e-06,206,0.957679832054996,0.85337,1
"NCR3LG1_IL6ST","NCR3LG1","IL6ST",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.958815774303415,0.99779,1
"VEGFA_IL12RB1","VEGFA","IL12RB1",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,0.960531546400232,0.8063,1
"TNFSF10_CXCR3","TNFSF10","CXCR3",240,227,5.95461230747405e-06,6.98094534055112e-06,286,0.976874912457948,0.84589,1
"CD58_CCR6","CD58","CCR6",187,374,4.63963542290686e-06,1.15016456271635e-05,400,0.982598302057016,0.9338,1
"CLCF1_ITGAL","CLCF1","ITGAL",21,55,5.21028576903979e-07,1.69141847458287e-06,62,0.986825775263301,0.77392,1
"NCR3LG1_ITGA4","NCR3LG1","ITGA4",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.991775934910137,0.99977,1
"EBI3_CD72","EBI3","CD72",74,72,1.83600546147116e-06,2.21422054854485e-06,108,0.993646601039189,0.35842,1
"ICAM4_CCR6","ICAM4","CCR6",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.00196286866377,0.97469,1
"CD58_IL10RB","CD58","IL10RB",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.00529244512829,0.86967,1
"ICAM1_CD2","ICAM1","CD2",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.01020195430632,0.75969,1
"ITGAV_CD2","ITGAV","CD2",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.01065635970761,0.79163,1
"TNFSF13B_FLT1","TNFSF13B","FLT1",803,613,1.99231403454236e-05,1.88516277258054e-05,723,1.01563024971538,0.75606,1
"EBI3_CXCR3","EBI3","CXCR3",74,72,1.83600546147116e-06,2.21422054854485e-06,108,1.01767986152985,0.43109,1
"CXCL11_ITGAL","CXCL11","ITGAL",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.02309150568864,0.80788,1
"ICAM4_IL10RB","ICAM4","IL10RB",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.02465551351853,0.95294,1
"CLCF1_BSG","CLCF1","BSG",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.03239212218374,0.76498,1
"SEMA4D_FLT1","SEMA4D","FLT1",168,130,4.16822861523183e-06,3.99789821265042e-06,247,1.03519000073028,0.88987,1
"IL23A_ITGAL","IL23A","ITGAL",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.04149256783098,0.88094,1
"CD58_IL27RA","CD58","IL27RA",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.04524740682252,0.80698,1
"ICAM4_IL27RA","ICAM4","IL27RA",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.06460970027207,0.92778,1
"CXCL11_BSG","CXCL11","BSG",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.06865640374603,0.79439,1
"KLRB1_FLT1","KLRB1","FLT1",111,89,2.75400819220675e-06,2.73702262250683e-06,105,1.08645465030359,0.96159,1
"IL23A_BSG","IL23A","BSG",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.08705552250988,0.90114,1
"VEGFA_TNFRSF14","VEGFA","TNFRSF14",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,1.0984400048649,0.77995,1
"CD58_CD2","CD58","CD2",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.10258018362893,0.68204,1
"ITGB1_FLT1","ITGB1","FLT1",547,449,1.35715538841179e-05,1.38081253652311e-05,575,1.12031724978533,0.86518,1
"ICAM4_CD2","ICAM4","CD2",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.12194084253755,0.84267,1
"VEGFA_SELL","VEGFA","SELL",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,1.12351904414954,0.73639,1
"CXCL9_ITGAL","CXCL9","ITGAL",265,766,6.57488442283593e-06,2.35568463914632e-05,246,1.12914070525701,0.52476,1
"VEGFA_IL6ST","VEGFA","IL6ST",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,1.13384525373357,0.64587,1
"OSM_CD72","OSM","CD72",406,440,1.00732191534769e-05,1.3531347796663e-05,345,1.14919903763355,0.81036,1
"ICAM1_IFNGR1","ICAM1","IFNGR1",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.15241046801844,0.79261,1
"ITGAV_IFNGR1","ITGAV","IFNGR1",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.1528666821892,0.80244,1
"CLCF1_IL10RA","CLCF1","IL10RA",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.15675377912674,0.64571,1
"VEGFA_ITGA4","VEGFA","ITGA4",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,1.16680449152769,0.62768,1
"OSM_CXCR3","OSM","CXCR3",406,440,1.00732191534769e-05,1.3531347796663e-05,345,1.17324206363122,0.63121,1
"CXCL9_BSG","CXCL9","BSG",265,766,6.57488442283593e-06,2.35568463914632e-05,246,1.17470361081861,0.45384,1
"B2M_FLT1","B2M","FLT1",41570,35581,0.00103138847342373,0.00109422474080242,1676,1.18070837840011,0.5434,1
"CXCL11_IL10RA","CXCL11","IL10RA",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.19301836232329,0.70947,1
"CD93_CD72","CD93","CD72",570,638,1.41422042302509e-05,1.96204543051613e-05,576,1.19576976470555,0.95398,1
"IL23A_IL10RA","IL23A","IL10RA",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.21141787142123,0.78639,1
"CLCF1_TNFRSF10A","CLCF1","TNFRSF10A",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.21200094605163,0.5886,1
"CD93_CXCR3","CD93","CXCR3",570,638,1.41422042302509e-05,1.96204543051613e-05,576,1.21981345094193,0.69003,1
"ICAM1_CD74","ICAM1","CD74",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.22075214211453,0.70376,1
"ITGAV_CD74","ITGAV","CD74",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.22120875898262,0.73332,1
"CD58_IFNGR1","CD58","IFNGR1",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.24478941886487,0.58811,1
"CXCL11_TNFRSF10A","CXCL11","TNFRSF10A",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.24826657837418,0.6708,1
"TNFSF14_ITGAL","TNFSF14","ITGAL",92,290,2.28260138453172e-06,8.91838832052786e-06,182,1.25413477976566,0.47556,1
"ICAM4_IFNGR1","ICAM4","IFNGR1",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.26415389676695,0.86034,1
"TNFSF13_FLT1","TNFSF13","FLT1",184,167,4.56520276906344e-06,5.13576155009708e-06,266,1.26528176192732,0.37287,1
"IL23A_TNFRSF10A","IL23A","TNFRSF10A",218,593,5.40877284595559e-06,1.82365664623208e-05,197,1.26666746569428,0.71414,1
